Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
copy-of-australia-lamb-shoulder-marinated-with-black-pepper-garlic,(Balck Pepper) NZ Lamb Shoulder,"<p>100% Grass-fed New Zealand lamb meat cuts.</p>
<p><meta charset=""utf-8""><span>-Est weight 700g-</span></p>
<p><span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Taylor Preston,,Lamb,"Marinated, New Zealand, Shoulder",false,Title,Default Title,,,,,"",700.0,shopify,20,deny,manual,46.90,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/20210609_220318_0000.png?v=1634432902,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-new-zealand-lamb-bone-in-lamb-leg-marinated-rosemary-1,(Italian Mix) NZ Lamb Leg,"<p>Grass-fed. HGP free. Halal, No antibiotics.</p>
<p>We are proud to supply New Zealand’s highest quality, leanest, natural meat products to the world. We don’t believe in using artificial proteins or growth hormones - natural is best. You can be confident you can always get the finest meat cuts from us.</p>
<p><meta charset=""utf-8""><span>-Est weight 2 KG-</span></p>
<p><span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Affco,,Lamb,"Bone in Leg, Marinated, New Zealand",false,Title,Default Title,,,,,"",2000.0,shopify,20,deny,manual,152.60,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/20210611_162205_0000.png?v=1634431813,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,kg,,,draft
copy-of-new-zealand-lamb-bone-in-lamb-leg-marinated-rosemary,Copy of New Zealand Lamb Bone-In Lamb Leg (Marinated) Rosemary,"<p>Grass-fed. HGP free. Halal, No antibiotics.</p>
<p>We are proud to supply New Zealand’s highest quality, leanest, natural meat products to the world. We don’t believe in using artificial proteins or growth hormones - natural is best. You can be confident you can always get the finest meat cuts from us.</p>
<p><meta charset=""utf-8""><span>-Est weight 2 KG-</span></p>
<p><span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Affco,,Lamb,"Bone in Leg, Marinated, New Zealand",false,Title,Default Title,,,,,'2019011,2000.0,shopify,20,deny,manual,152.60,,true,true,"",,,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,kg,,,draft
copy-of-new-zealand-beef-neck-bone,🇳🇿NZ Beef Neck Bone,"<p>The neck fillet is often underrated and inexpensive as it takes a little longer cooking than other popular cuts — but it’s the marbling through the cut that gives all the flavour.</p>
<p><strong>Serving:<br></strong>1 neck fillet (350~400g) will serve 2 people</p>
<p><strong>How to Cook :<br></strong>Lamb neck can be cooked whole, long and slow to ensure tender meat. <br>You can also chop the neck into chunks and brown off for use in stews and curries. <br>Marinade the cubes of neck in a rub of ground coriander, cumin, sumac and chilli before pushing onto skewers and flaming over the BBQ for wonderful homemade kebab. Serve with hummus and warm wood fired pita bread.</p>
<meta charset=""utf-8"">
<p><span>-Est weight 1kg-</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Affco,,Beef,"Neck Bone, New Zealand",false,Title,Default Title,,,,,"",1000.0,shopify,20,deny,manual,23.70,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/1624494256137.png?v=1634353767,1,,false,,"Grass-fed. HGP free. Halal, No antibiotics.

AFFCO is renowned for producing top-quality, grass-fed beef and lamb. We are proud to supply New Zealand’s highest quality, leanest, natural meat products to the world. We don’t believe in using artificial proteins or growth hormones - natural is best. You can be confident you can always get the finest meat cuts from us.","Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,kg,,,draft
copy-of-new-zealand-beef-oxtail,🇳🇿NZ Oxtail,"<p>Grass-fed. HGP free. Halal, No antibiotics.</p>
<p>We are proud to supply New Zealand’s highest quality, leanest, natural meat products to the world. We don’t believe in using artificial proteins or growth hormones - natural is best. You can be confident you can always get the finest meat cuts from us.</p>
<meta charset=""utf-8"">
<p><span>-Est weight 1Kg -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Affco,,Beef,"New Zealand, Oxtail",false,Title,Default Title,,,,,"",1000.0,shopify,20,deny,manual,54.70,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/1625098285429.png?v=1634353623,1,,false,,"Grass-fed. HGP free. Halal, No antibiotics.

AFFCO is renowned for producing top-quality, grass-fed beef and lamb. We are proud to supply New Zealand’s highest quality, leanest, natural meat products to the world. We don’t believe in using artificial proteins or growth hormones - natural is best. You can be confident you can always get the finest meat cuts from us.","Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,kg,,,draft
cherokee-chicken-wings,(Cherokee) Chicken Wings,"<meta charset=""utf-8"">
<p><span>C</span><span>hicken are certified halal.</span></p>
<meta charset=""utf-8"">
<p><span>- Est Weight around 500g -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Tong Hing Sabah,,Chicken,"Malaysia, Marinated, Wing",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,17.45,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/0001-2704928564_20210611_085350_0000_mh1623372899754.jpg?v=1634353198,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-cherokee-boneless-chicken-breast,(Honey mustard) Boneless Chicken Breast,"<meta charset=""utf-8"">
<p><span>C</span><span>hicken are certified halal.</span></p>
<meta charset=""utf-8"">
<p><span>- Est Weight around 500g -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Tong Hing Sabah,,Chicken,"Boneless Breast, Malaysia, Marinated",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,18.70,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/20210613_075517_0000.png?v=1634353102,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-chicken-wing-marinated-with-honey-mustard,(Honey Mustard) Chicken Wings,"<meta charset=""utf-8"">
<p><span>C</span><span>hicken are certified halal.</span></p>
<meta charset=""utf-8"">
<p><span>- Est Weight around 500g -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Tong Hing Sabah,,Chicken,"Malaysia, Marinated, Wing",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,17.45,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/0001-2598359580_20210609_125615_0000.png?v=1634353012,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-chicken-wing-marinated-with-cajun,(Cajun) Chicken Wings,"<meta charset=""utf-8"">
<p><span>C</span><span>hicken are certified halal.</span></p>
<meta charset=""utf-8"">
<p><span>- Est Weight around 500g -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Tong Hing Sabah,,Chicken,"Malaysia, Marinated, Wing",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,17.45,,true,true,"",,,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-chicken-boneless-breast-marinated-with-cherokee,(Cherokee) Boneless Chicken Breast,"<meta charset=""utf-8"">
<p><span>C</span><span>hicken are certified halal.</span></p>
<meta charset=""utf-8"">
<p><span>- Est Weight around 500g -</span></p>
<meta charset=""utf-8"">
<p><span><em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Tong Hing Sabah,,Chicken,"Boneless Breast, Malaysia, Marinated",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,18.70,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/1625183946030.png?v=1634352759,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
